Cocconeis scutelum,Navicula hanseatica,Navicula meniscus,Halamphora coffeiformis,Navicula peregrina,Halamphora acutiscula,Amphora ovalis,Staurosirella martyi,Navicula gregaria,Planothidium delicathulum,Stephanocyclus meneghinianus,Stephanodiscus hantzschii,Ctenophora pulchella,Navicula radiosa,Nitzschia inconspicua,Sellaphora bacillum,Placoneis clementis,Cymbopleura naviculiformis,Diatoma moniliformis,Luticolopsis vietnamica,Synedra famelica,Amphipleura pellucida,Pseudostaurosira elliptica,Pseudofallacia tenera,Diatoma tenuis,Pseudostaurosira brevistriata,Brachysira styriaca,Achnanthidium lineare,Nitzschia palea,Encyonopsis microcephala,Navicula cryptotenella,Staurosira construens,Pinnularia borealis,Fragilaria gracilis,Encyonema minutum,Sellaphora laevissima,Encyonema silesiacum,Halamphora bicapitata,Pinnularia viridiformis,Lindavia radiosa,Adlafia minuscula,Stauroforma exiguiformis,Achnanthidium minutissimum,Platessa oblongella,Tabellaria flocculosa,Brachysira vitrea,Achnanthidium petersenii,Eunotia bilunaris,Frustulia saxonica,Tabellaria ventricosa,Brachysira seriens,Eunotia implicata,Eunotia rhomboidea,Brachysira procea,Encyonema neogracile,Eunotia nymanniana,Frustulia vulgaris,Fragilaria radians,Eunotia tenella,Frustulia erifuga,Encyonopsis cesatii,Rossithidium pusillum,Eunotia vanheurckii,Cocconeis placentula,Aulacoseira cf. ambigua,Staurosirella pinnata,Fragilaria tenera var. nanana,Pinnularia microstauron,Pinnularia krammeri,Tabellaria fenestrata,Gomphonema drutelingense,Stauroneis gracilis,Navicula cf. cryptocephala,Hippodonta hungarica,Iconella amphioxys,Pinnularia biceps,Nitzschia hantzschiana,Species_richness,Inverse_Simpson,LakeID
0,0.25,0,0,1.7500000000000002,0,0,0,0,0.25,0.25,1.25,0.25,0,0,0,0.5,0,0.25,0.25,0,0,17.5,0,0.25,4.5,1,1.5,5.25,0,0,0,1,6.5,0,0,0.5,0,0,7.5,0,23.5,3.25,7.75,0,0.25,4.25,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0.5,0,0,0.75,0.25,0,0,0,0.25,0,0,0.5,0,0,0,0.5,0.5,0,0.25,12.5,2.500740960284525,TL08
0,0.5,1.25,0,1.5,0,0,1,0,0,0.25,0,0.75,0,0.25,0.75,0.25,0.25,0.25,0,0,0,13.25,2,1.7500000000000002,3.25,2.75,0.25,4,0,0,0,0,0.75,0,0,1,0,0,0.5,0,12.5,17,4.25,3.25,0,3.25,1.25,0,0,3.5000000000000004,0.25,0.25,0,1,0.25,0.5,2,0.25,0,0,1.25,0,0,0,0,1.25,0,0,1.5,0,0,0,0,0,0,0,13,3.4755035383778,TL09
0,2.75,1.7500000000000002,0,1.25,0.5,0,0,0,0,0.75,0,1.25,0,0,0,0.5,0,1.25,0,0,0,27.500000000000004,0.25,0,2.25,0.5,0.75,1,0,0,0,1.25,0.25,0,0,0,0,0,0,0,32.5,4,6.75,0,0,2.25,0,0,0,1.7500000000000002,0,0,0,0,0,0.25,0.75,0,0,0,0,0,1.7500000000000002,0,0,0,0,0,0,0,0,0,1.7500000000000002,0,0,0,8.5,1.4792046239869325,TL18
0,4,0.25,1,0.75,0.5,0,0,0,0.5,3,0,7.5,0,0,0.25,0.5,0,3,0,0,0,20,0.25,0,0.25,0,1.5,0.25,0,0,0,2,0,0,0,0.25,8.75,0,0,0,2,2.75,7.5,1,0,1,0.25,0.25,0,0.25,0,0,0,0,0,0,10.5,0,0,0,0,0,1.25,15,0,0,0,0,0,0,0,0,0.75,0,0,0,10.25,2.789938027199175,TL27
0,0.5,0,0,0,0.25,0,1.5,0,0,0.25,0,0.75,0,4,1,0,0,5,0,0,0,13.5,0,0.5,3.25,2.25,12.25,3.75,0,0,0,0,0,0,0,0,0,0,0,0,8,7.000000000000001,19,0.25,0,8,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,2.84812076401725,TL101
0,0,0,0.25,0,2.25,0,0,0.25,0,5,0,0,1.7500000000000002,3.5000000000000004,0.5,1,3,0,0.25,0,0,0.75,0,0,3.75,0.5,2,2.75,0,0,0,0,0.25,0,0,0.25,0.25,0,11.5,0,3.5000000000000004,12.25,1,0.75,3.5000000000000004,1.7500000000000002,3,1.5,0,6.5,1.5,0.75,0,0.25,2.25,6.5,0,0.25,0.25,0,2,0.25,0,0,0,0,3,1,0.25,0.25,0,0,0,0,0,0,14.249999999999998,4.527204543483925,SGL15
0,1.25,0.25,0,0,0,0,2,0.25,0,5.25,3,0,4.75,1.7500000000000002,3,0.75,0,0,0.75,0,0,6.5,0.5,0,8.75,0.5,0.25,1.25,0,0,0,0,0,0,0,0.5,0,0,3.5000000000000004,0,1.5,27.500000000000004,0.75,1.25,0.25,4.75,0.25,0,0,1.5,1.25,0,0,0.25,0,1.25,0.5,0.25,0,0.25,2.5,0,0.75,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,13.25,2.68275113737385,SGL102
0,0.25,0,0,0,1.5,0.25,0,0,0,1.25,0,0,1,5.5,1.5,0.25,5.5,0,0,0,0,1.7500000000000002,1.25,0.25,4.25,3.25,0,2,0,3.75,0,0,0,0,0,0.25,0,0,6,0,3.25,20.5,1.7500000000000002,0.25,1,1.7500000000000002,0.75,2,0.25,1.5,1.7500000000000002,1.5,0,0,3,5.5,0.25,1.7500000000000002,1.5,0,0.75,1.5,0,0,0,0,0.5,1.7500000000000002,0,0,0,0,0,0,0,0,12.75,3.851999848496325,SGL103
0,0.25,0,0,0,2.75,0,8.75,0,12.5,0,0,0,0,2,1.7500000000000002,3.5000000000000004,0,0,0,0,0,26.75,0,0,15.5,0,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0.75,7.000000000000001,3,0,0,1.7500000000000002,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,6,2.0498038857976826,SGL104
0,1.5,0,0,0,3.25,0,10.5,0.25,6,1.25,0,5,0,2.75,0,0,0,1.25,0,0,0,40.5,1.25,0.25,1.7500000000000002,0,0,0.25,0,0.75,0,2.25,0,0,0,0,1,0,0,0,3.75,2.25,0.75,0.25,0,1.25,0,0,0,0,0,0,0,0,0,0,4,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,8.5,1.4972655007949125,SGL105
0,1,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,2.25,0,0,3.25,1,0.25,2.75,1.7500000000000002,0,1.25,0,0.25,0,0,0,0,0,0,0,0,0,0,71.25,0.5,1,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0.25,0.25,1,1.25,0,0,0.25,1,0,0,0,0,0.25,0,0,0,0,0,0.25,1.5,0,0,9.75,0.5776800594702824,SGL107
0,0.25,0,0,0,0.75,0,9,0,1,1,0.25,40.25,0,1,5,0,0,0,2,0,0,1.25,2.5,0,1.5,0.25,0,0.25,0,0.5,0,0.25,0,0,0,0.25,0,0,0,0,13.5,1.5,4.75,1.7500000000000002,0,0.5,0.5,0.25,0,0,2,0,0,0,0.25,0.5,0.75,0.75,0,0,0,0.5,0.75,0,0,0,0,0.25,0,0,0,0,0.25,0.25,0,0,10.75,1.4740933810053174,SGL113
0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,3.25,0,0,0.75,0.25,0.25,0,0,0,1,0,4.25,0.75,2.25,1,0,2.25,0,0,0,0,0,1,0,0.25,0,0,0,21.5,3.5000000000000004,2.75,30.75,1.25,0.25,0,0,4.25,0.75,0,0,2,0.5,0.25,0,1,0,0,0.25,0.25,0,0,0,0,0.25,0.25,0,3,0,0.75,0,0,0,0,10.5,1.8597593481075325,SGL118
0,0.25,0,0,0,0,0,0,0,0,0,0,0,1.5,5.75,0,0,0,0,0,0,2,0,0.75,0,2,0.75,5.25,1.7500000000000002,0,2.5,0,0,0,0.25,0,2.5,3.75,0.25,0,0.25,0.75,11.25,3.25,0.25,19.25,7.75,0,4,0,4,0.5,1,0,5,2,2.75,0.25,0.75,0,0,0,0,0,0,0,0,0.5,0.25,0,0.25,0,3.25,0,0.25,0,0,10.5,3.5330584490740753,SGL119
0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.75,1.7500000000000002,0.75,0,1.5,0,0,0,0,0,1.5,0,1.7500000000000002,0.75,0.25,3.75,0,0,0,0,0,1.7500000000000002,0,0,0,1.7500000000000002,0,0,5.75,5,0.5,9.25,14.499999999999998,1.25,1.7500000000000002,8,4.75,5.75,0.75,1.7500000000000002,0,2.25,2.5,6.25,0,0,0.75,0,0,0,0,0,0,0,2,0,2.75,0.25,0,0.5,0,0,0,0,11.5,4.34770064696625,SGL120
0,2,1.7500000000000002,0,11,0,0,0,0,0,5,0,3,0,0.75,0,0,0,0,0,0,0,46.75,0.75,0.25,2.5,0,0.5,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,4,1.25,0.25,0,0,2.5,0,0,1,0,0.5,0,0,0,0,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,2,0,0,7.75,1.1625466242771676,SGL123
0,1.25,3.5000000000000004,0,0.5,0,0,0.25,0,0,0.75,0,0.5,0,0.5,0.5,0,0,1.25,0,0,0,16.25,6.75,4,4.5,0,1.5,3.75,0,0.5,0,0.25,0,1,0,0,0,0.25,0,0.5,6,5.75,0.75,0.25,0,3,3.25,0,3.25,0.25,0.25,0,0,0,0.5,0,13.5,0.25,0,0,0,0.5,0.25,0,0,0,0.25,4.25,0.25,0,0,0,0,0.25,0,0,13.25,3.7022623944576756,SGL124
0,0,0.75,0,0,0,0,1.25,0,0,0,0,0,0.25,0.5,1.25,0.25,0.25,0,0,0,0,31.25,0,0,7.249999999999999,0,0.5,0.5,1.7500000000000002,0.75,21,0.25,0,0.25,0,0.25,0,0,0,0,8.5,1,2,0,0.25,7.5,0,0,0,0,1,1.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,9,1.7170315774261151,SGL127
66.25,0,0,0.75,0,1.25,0,1.7500000000000002,0,1.7500000000000002,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.5,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.25,0,0,9.25,0.6560975442164725,SGL08
0.5,2,3.25,0,2.5,3.5000000000000004,1,1.25,0,1,1,0,0.75,2,1.5,1,2,0,0,0,0,0,1.25,0.75,1,1.7500000000000002,0,3.75,1,1.7500000000000002,0,3.25,0.5,0,0,0,0.25,0.25,0,4.25,0,6.25,7.5,0.75,6.5,3.25,1.25,1.7500000000000002,0.25,1,1,1,1,0,1.7500000000000002,0.25,3,0.25,0,0,0,0,0,0.25,0,0,0,0,1.25,0,1,0,4.5,1.25,0.25,0,0,17.75,5.5610398074802,TAILORSPOND
0,1.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,2,0,2.25,0,0,0,66.75,0,0,0,0,4.75,0.5,0,0,0,4.25,0,0,0,0,0.25,0,0,0,0,0.75,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,2.75,0,0,0,5.25,0.601118527261135,SGL25
0,2.75,1,0,0,0,0,0,0,0,0,0,0,2.75,0,1.5,0,2.25,0,0,0,0,21,0,0,31,0,0,0,0.25,0,0,0,0,0,2.25,0,0,0,0,0.5,0.5,0.5,13.25,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.5,0,0,0,1.25,0,0,0,0,0,0,0.25,0,0.5,3,0,8.75,1.6906561595368277,SGL128
0,0,0,0,0,0,0,0,4.5,0,0,0,0,4.25,0,0.25,0,0,0,0,0,0,3,0,0,4,0,3.25,8.25,4.5,2.25,0,0,0,9.5,1,0,0,0,0,0,12.25,8.75,5.5,0.75,3.5000000000000004,0,0.25,1.25,1.25,1,3.5000000000000004,1,0,0,1.7500000000000002,0,0,1.7500000000000002,0.75,0,2,0.25,0,0,0,0,0,0.25,0,0,1,0,0,2,0,0,10,4.532684023225325,SGL122
0,0,0,0,0,0,0,0,1,0,31.25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,1,0,0,0,6,0,2,2,1,0,0.5,0,11,13,0,6.5,0,0,0,0,3,0,0,0,7.000000000000001,0,0,1,1,2,0,0,0.25,0,0,0,0,0,0,0,0.25,0,5.75,1.8797432449468423,SGL05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,0,0,0,0,0,0.5,0,1.25,0,0,0,1.7500000000000002,0,0,0,0,0,0,0,0,1,14.499999999999998,0,0,7.75,10.5,0,10.25,0.25,0.25,21.75,0,0.5,12,0,1.5,9.75,0,0.25,1,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,7.000000000000001,2.268251609707775,SGL110
0,0.25,0.25,0,0,0,0,0,0.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0.75,1.25,0,0,0,0,0,0,1.5,0,0,11,6.75,1,0.25,0.75,5.25,0.25,0,8.5,1.5,5,0,0,14.000000000000002,0,0,4.75,0.25,0,0.25,0.5,0.25,0,11,0,2,0,0,0,0,0,0.25,0,0,0,0,0.25,0,9.5,3.67460925528655,SGL109
0,0,0,0,0,0,0.75,0,0,0,1,0,0,0.75,0,0.75,0,0,0,0,0,0,2.25,0,0,6.25,0,9,0.75,1.25,0,0,0,0,0.75,1,0,0,0,1.25,0.75,24.25,7.5,5.5,1.5,0,11.25,5,0,0.75,0.25,5.75,1.7500000000000002,0.5,0,0,0,0,1,0,0.25,1,0,0,1.25,0.25,0,0.25,0,2.75,0,0,0,0,0,0,0,10,2.72215973003375,SGL125
0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,10,0,0,2,0.25,0,0.5,0.25,0,0,0,0,0.5,0.25,0,0,0,0,0.5,50.74999999999999,3,2,8.75,0,0.25,0.5,1,5,0,0.5,0.25,3.5000000000000004,0,0,0.75,0,0.25,0,0.25,0.5,0,0,0,0,0,0.5,0.25,3,0,0,0,0,0,0,0,8.75,1.019685081801135,SGL116
0,3,0.25,1.5,0.5,0,0,0,0,3,0.5,0,0.5,0,0,0,0,0,0,0,0,0,54.75,0,0,1.7500000000000002,0,2.5,0,0.5,0,0,1.7500000000000002,3,0,0,0.25,0,0,0,0.5,11,1.7500000000000002,3.5000000000000004,0.25,0,0.75,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0.25,1.5,0,0.5,0,1.5,0,0,0,0,0,0,0,0.75,0,0,0,9.25,0.91248733778024,SGL114
0,0,0,3.25,0,0,1.5,0,0,0,0.25,0,0,5.5,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0.25,11.5,0.5,0.5,0,0,0,2.75,2,0.5,0.25,0,0,1,0,3,10,1.5,5.25,2.25,0,0.25,3,0.25,0,0.5,3,8.5,3.5000000000000004,2.5,0,0,7.249999999999999,0,0.25,6,6,0,0,0,0,0.25,0.25,0.5,0,0,0.5,0,0,0,0,11.75,4.402242883581575,SGL126
0,0.75,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.31073620081133,SGL115
0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,1,0,0.75,0,1.25,0,0,0,0,1,0,0,3.25,1,6.25,3.75,0.75,0,0.5,0,0,0.75,0.75,0.5,0,0.25,0,0,25,9.25,4,0.25,0.25,0,1.7500000000000002,3,0.5,0,0.25,4.25,1.5,0.75,0.75,1.25,0.5,1.7500000000000002,2,4,0,1,0,0,1.25,0,2.75,0,0,0.25,2.25,0,0,0,0.25,0,14.000000000000002,3.0149634613154,SGL129
0,0.25,0,0,0,0,0,0.75,0,0.75,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0,37,0,0,9.75,0,2.5,0.5,0,0.25,0,1,0.25,0,0,0,0,0,0.25,0.25,9.75,6.5,5,0.25,0.25,3,0,0,0.25,0,0,0,0,0,0.5,0.25,1,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0.25,0,0,8.5,1.60527033476512,SGL07
0,0,0,1.5,0,0.25,0,0,0,0,0.5,0,0.5,0.25,0.75,0,0,0,0,0,0,0,74.25,0,0,4.75,0,0.75,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,6,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0.49720730934675994,SGL108
44.25,0,0,1.7500000000000002,0,0.75,0,0,0,10.75,2.75,0,0.25,0,0,0.25,0.25,0,0,0,3,0,1.25,0,1.25,2.25,0,2,0.25,0,0,0.25,0,0,0,0,0,0.75,0,0,0,2,0.25,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,1.2238832520753724,SGL06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,6.75,0,0,5.5,0.25,0,0.25,3.25,0,0.5,0,0,0,0,0,0,0,0,0,66.5,2.5,1.5,0.25,2.5,2.5,0.75,0,1.25,0,0.25,0,0,0.25,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,7.249999999999999,0.626834103077615,SGL121
0,0.5,0,0,0,0.25,0,1.7500000000000002,0,0,0,0,0,0.75,2.25,0,0,0,0,0,0,0.25,1.7500000000000002,0,0,4.5,0.25,5.75,14.499999999999998,3.5000000000000004,0,0,0.25,0,0.25,0.75,0.25,0,0.25,0,0.25,12.25,5.25,6,2.75,14.000000000000002,1.7500000000000002,0.5,1.7500000000000002,3.5000000000000004,0,2.25,0.25,0.5,0.5,3,0,0.25,0.75,0.5,1.7500000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,12,3.526567332021375,SGL24
0,0.25,0,0.25,0,0,2.5,2.5,0,0,2.75,0,0,4.5,1,0,0,0,0.25,0,0,0,11.5,0,0,6.5,0.25,10,3.5000000000000004,0,0.25,0,0,0,0,1.5,3.5000000000000004,0,0,2.5,0,9.5,10.25,8,0.25,1.5,0.25,1.5,1,0.25,0,2,1.5,0,1,0.25,0,0,0.75,0,1,0,0,0,0,0,0,0.25,0,0,0,1,0,0,0.25,0,0,12.25,4.04139603881005,SGL22
0,0.5,0.25,0,0,0,1,0,0,0,0.25,0,0,3.25,0.25,0,0.5,0.25,0,0,0,0.25,0.25,0,0,0.75,0.25,7.249999999999999,0,4.5,0.75,0,0,0,0,5,3.75,0.5,0,0,0,7.5,6.5,5,0.5,7.5,0,8,0.25,0.5,0,3.75,2.5,0,5.5,0,0.5,0,4,3.5000000000000004,0,0,0.25,0,0,0,0,0.5,2.25,0,0,0.25,0,0,0.5,2,0,12.75,4.97410251393915,SGL13
0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,1.25,0.5,0,0,0,0,0,0,0,6.25,0,0,0.25,0,12.75,17.25,0.75,0.75,0,0,0,0.25,1,0.25,0.25,0,0,0,15,6.75,6.5,0.5,5.75,0.25,0.75,0,0.5,0,0.5,0.75,0,0.75,3.75,0.5,0,0.75,0.25,6.25,1.25,0.5,0,0,0,0,0.25,0.25,0,0,0.5,0,0,0,0,0,11.25,2.973169779592825,SGL16
0,0,0,0,0,0,0,0.25,0,0,0,0,0,3.75,0,0,0,0,0,0.5,0,0,0.5,0,0,0.75,0.25,4.5,1.25,0.25,1.5,0,0,0,0,0.25,0,0,0,0,0,2.75,7.75,0.75,23.75,4,0,4.25,1.5,3.25,1,1.5,0,0.75,2.5,4,0.5,0,1.25,1.25,2.25,1,0,0,0,0,10.25,0.25,0.25,2.25,0,0.75,0,0,0.5,0,1,11.5,3.091830390450125,SGL112
0,0.75,1.25,0,0.75,0,0.5,2.75,4.75,0.25,0.25,0,0.25,0,0,0,0,0,0.25,1,0,0,2,0,7.000000000000001,1,0,2,4.75,0,0.75,0,1.25,0.25,0,0,0.5,0,0,0,0,10.75,6.75,3,5.75,1.5,0,2.75,1,11.25,0,3.5000000000000004,1.25,0.75,0.25,1.25,0,0.25,0.75,0,0.75,1.25,0.5,0,0,0,0.75,0,0.25,0.25,0.25,0,0,0.25,0,0,1.7500000000000002,15,4.611227336122725,SGL106
0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0.25,0,1,0,0,0,0,0,0.5,0,0,1,0,5,0,0,0.25,2.5,5,20.5,0.5,0,1.5,2,8.75,12,2,2,6,0.5,1.5,0,0,6,0,0,0,0.75,0,0,0,0,1,0,0,0,3,0,0,0,0,0,7.75,2.91435519297145,SGL111
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0.25,0,0,0,1.5,0,0,0,0.25,3.25,0,10,0,2,0,0,0.5,0.75,0,11,0,0,1.5,6,2.5,0,0.5,0.25,0,9.75,5,0,0,2.75,4.5,3.25,0.75,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0.25,0,9.5,3.7265734265734247,SGL14
0,0,0,0,0,0,1.5,0,0,0,0,0,0,4.5,0,0.25,2.5,0.5,0,0,0,0,0,0,0,0,0.25,0,2,1,3.5000000000000004,0.25,0,0,0,0.25,0,0,0,0,4.5,22.75,5.5,0,0.25,7.000000000000001,0.5,1.5,2,6.5,0,2,2.5,4,1.5,3,0,0.25,0.25,0,3.5000000000000004,1,0.25,0,0,4.75,0.5,0,0.25,0,0.25,0.25,0,0,0,0,2,12,3.331739707835325,SGL23
0,2.25,0.75,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0.75,0,0,0,42.25,0,0.5,7.75,0,0,0.75,0,0,0,0.25,0,0,0,0,0,0,0,0,28.749999999999996,0.25,0,0,0,0.75,0,0,1,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2.75,6.5,1.0326156227239625,SGL100
0.75,4,0,15.5,0,0,0.5,4,2,2.5,1,4.25,5.75,0,0.25,0,0.25,0,0,0,2.5,0,6,0,0.25,0.75,0,0,1.5,0,0,0,0.25,0,0,0,0,1.5,0,0,10.5,3.5000000000000004,1,0.5,0,0.75,0,0,0,0.25,0,0.25,0,0,0.25,0,0,0,0,0,0,2,0,2.5,0,0.25,0.5,0,0,0,0.5,1,0,0.25,0.25,0,0.25,14.000000000000002,4.2242808386153,SGL02
0,0,0,0.5,0,0,0,6,0,35,0,0,1,0,0,0,0.75,0,0,0,0,0,2.5,0,1,11,0,0,0.75,0,0,0,0,0,0,0.5,0,0,0,0,1.5,4,0,10,10,0,0,0,0,0,0,0,0.25,1.5,1,0.25,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.25,0,0,2,8.25,1.7183799538072375,SGL26
0,0,0.25,0,0,0,2.25,0.75,0,0,0.25,0,0,0.75,0,0.25,1,0,0,0,0,0,8,0,0.25,11.25,0,1,0,0,0.5,0,0,0,0,0,0.25,0,0,0.5,1.5,23.75,4,0.25,3.75,0.75,2.5,1.7500000000000002,1,0.25,0,5.25,7.000000000000001,1.7500000000000002,0.25,0.25,0,0,0,0.5,0,0.25,0.75,0,0,0.75,0,1,0,0,1.5,0.5,0,0,0.25,0,0,14.249999999999998,2.9255477110999,SGL21
0,0,0,0.5,0.5,0,1,0.25,0,0,0,0,0,1.5,0,1,0.25,0.5,0.5,0,0,0,0.75,0,0.25,0.25,0.5,0.75,8,2,2,0.75,0,0,0,2,1,0.25,0.5,0.25,5,7.5,11,0.25,1.7500000000000002,1.5,0.75,2.25,1.7500000000000002,0.25,0,3,0.5,1.25,4.5,3,0.25,2,1.25,0.5,4,1,0.5,0,0,0,2.75,0.75,0,0,0.75,0.75,0,0,0,2.5,0.25,18,4.86938275922365,SGL17
